Year,Age,Female,Male,Total
1956,18,326.0,889.05,1215.05
1956,19,336.0,1028.06,1364.06
1956,20,410.0,1116.0700000000002,1526.07
1956,21,404.0,1136.0700000000002,1540.07
1956,22,332.0,954.05,1286.05
1956,23,387.0,854.05,1241.05
1956,24,393.0,865.05,1258.05
1956,25,418.0,871.06,1289.06
1956,26,484.0,884.05,1368.05
1956,27,488.0,925.06,1413.06
1956,28,495.0,862.05,1357.05
1956,29,570.0,837.05,1407.05
1956,30,627.01,718.05,1345.06
1956,31,655.02,719.05,1374.07
1956,32,673.01,749.04,1422.05
1956,33,781.02,721.04,1502.06
1956,34,826.02,874.06,1700.08
1956,35,930.02,925.06,1855.08
1956,36,984.02,973.06,1957.08
1956,37,639.01,592.04,1231.05
1956,38,597.01,541.04,1138.05
1956,39,648.02,631.04,1279.06
1956,40,862.02,806.05,1668.07
1956,41,1338.02,1292.08,2630.1
1956,42,1505.02,1417.09,2922.11
1956,43,1695.02,1683.1,3378.12
1956,44,1749.02,1862.12,3611.14
1956,45,1945.03,1999.12,3944.15
1956,46,2117.04,2390.15,4507.1900000000005
1956,47,2315.04,2699.17,5014.21
1956,48,2496.04,2967.18,5463.22
1956,49,2750.04,3276.2,6026.24
1956,50,2821.04,3721.23,6542.27
1956,51,3006.04,4267.26,7273.3
1956,52,3204.05,4719.29,7923.34
1956,53,3400.06,5117.3099999999995,8517.369999999999
1956,54,3734.06,5753.34,9487.4
1956,55,4008.06,6135.37,10143.43
1956,56,4169.0599999999995,6565.39,10734.45
1956,57,4407.0599999999995,6780.4,11187.46
1956,58,4608.07,6701.4,11309.47
1956,59,5069.08,7018.41,12087.49
1956,60,5462.08,7108.42,12570.5
1956,61,5733.09,7176.42,12909.51
1956,62,6431.1,7447.43,13878.53
1956,63,6669.1,7718.45,14387.55
1956,64,7068.11,8083.46,15151.57
1956,65,7746.12,8816.5,16562.620000000003
1956,66,8214.119999999999,9005.51,17219.629999999997
1956,67,8915.130000000001,9606.54,18521.67
1956,68,9709.15,10282.58,19991.73
1956,69,10373.15,10576.6,20949.75
1956,70,11144.17,10964.619999999999,22108.79
1956,71,11429.17,11361.64,22790.81
1956,72,12085.18,11873.68,23958.86
1956,73,12588.19,11933.69,24521.88
1956,74,13193.2,12356.71,25549.91
1956,75,13339.21,12390.71,25729.92
1956,76,13937.21,13042.75,26979.96
1956,77,14610.22,13323.76,27933.98
1956,78,14512.22,13049.74,27561.96
1956,79,14516.21,12559.71,27075.92
1956,80,13882.21,12063.69,25945.9
1956,81,12922.19,11103.630000000001,24025.82
1956,82,11841.18,9986.57,21827.75
1956,83,10667.16,8758.5,19425.66
1956,84,8614.130000000001,6963.4,15577.53
1956,85,7330.11,5965.35,13295.46
1956,86,6920.1,5394.3099999999995,12314.41
1956,87,5402.08,4176.24,9578.32
1956,88,4345.0599999999995,3133.18,7478.24
1956,89,3460.05,2449.1400000000003,5909.19
